,bathrooms,bedrooms,price,price_type,square_feet,state
0,1.0,1.0,2195.0,Monthly,542,CA
1,1.5,3.0,1250.0,Monthly,1500,VA
2,2.0,3.0,1395.0,Monthly,1650,NC
3,1.0,2.0,1600.0,Monthly,820,CA
4,1.0,1.0,975.0,Monthly,624,NM
5,1.5,2.0,1250.0,Monthly,965,NM
6,2.0,2.0,1600.0,Monthly,1120,VA
7,2.0,2.0,1300.0,Monthly,947,CO
8,1.0,2.0,795.0,Monthly,600,WV
9,2.0,2.0,2150.0,Monthly,1005,CA
10,2.5,3.0,1795.0,Monthly,1522,GA
11,3.0,2.0,3195.0,Monthly,3077,MA
12,2.0,2.0,2395.0,Monthly,896,DC
13,3.5,4.0,7800.0,Monthly,4650,AZ
14,1.0,3.0,720.0,Monthly,800,IA
15,1.5,2.0,2000.0,Monthly,872,WA
16,1.0,1.0,729.0,Monthly,800,TX
17,1.0,1.0,1045.0,Monthly,700,IL
18,3.0,3.0,1800.0,Monthly,1500,MS
19,1.0,2.0,1250.0,Monthly,435,OR
20,1.0,0.0,1099.0,Monthly,290,OR
21,1.0,1.0,1060.0,Monthly,650,TX
22,1.0,1.0,1003.0,Monthly,797,TX
23,1.0,1.0,837.0,Monthly,444,TX
24,1.0,1.0,1020.0,Monthly,692,TX
25,1.0,1.0,985.0,Monthly,693,TX
26,1.0,1.0,1581.0,Monthly,703,TX
27,1.0,1.0,1090.0,Monthly,665,TX
28,2.5,3.0,3250.0,Monthly,1525,CA
29,1.0,1.0,962.0,Monthly,532,TX
30,2.0,2.0,1740.0,Monthly,1600,FL
31,1.0,1.0,1722.0,Monthly,453,TX
32,1.0,1.0,840.0,Monthly,540,TX
33,2.0,2.0,1590.0,Monthly,1000,MO
34,1.0,1.0,975.0,Monthly,615,TX
35,1.0,0.0,895.0,Monthly,430,PA
36,2.5,3.0,1695.0,Monthly,1550,IA
37,1.0,1.0,975.0,Monthly,650,TX
38,2.0,5.0,4500.0,Monthly,2050,MA
39,2.5,3.0,3990.0,Monthly,1739,CA
40,1.0,1.0,2300.0,Monthly,668,CA
41,1.0,2.0,2550.0,Monthly,860,CA
42,3.0,4.0,4950.0,Monthly,3350,CA
43,1.5,2.0,4950.0,Monthly,1200,CA
44,1.0,2.0,1225.0,Monthly,720,WI
45,1.0,1.0,1025.0,Monthly,616,WI
46,2.0,2.0,2548.0,Monthly,1391,CA
47,2.0,3.0,1299.0,Monthly,1119,NC
48,1.0,2.0,1549.0,Monthly,431,VA
49,1.0,2.0,1905.0,Monthly,900,VA
50,2.0,3.0,1199.0,Monthly,1273,GA
51,2.0,4.0,3580.0,Monthly,2100,IL
52,1.0,1.0,495.0,Monthly,360,OK
53,1.0,2.0,650.0,Monthly,314,UT
54,1.0,1.0,973.0,Monthly,509,FL
55,1.0,2.0,2095.0,Monthly,390,RI
56,1.0,1.0,750.0,Monthly,568,WA
57,1.0,1.0,1475.0,Monthly,663,NJ
58,2.0,4.0,1650.0,Monthly,1100,IL
59,1.0,1.0,1200.0,Monthly,840,IN
60,1.0,1.0,720.0,Monthly,511,IL
61,1.0,2.0,1385.0,Monthly,572,CA
62,1.0,1.0,1007.0,Monthly,735,MO
63,2.0,3.0,1499.0,Monthly,1544,FL
64,1.0,1.0,671.0,Monthly,685,TX
65,1.0,2.0,1910.0,Monthly,745,CO
66,1.0,1.0,945.0,Monthly,530,TX
67,1.0,1.0,1164.0,Monthly,755,MD
68,1.0,2.0,777.0,Monthly,563,NC
69,1.0,1.0,1055.0,Monthly,550,FL
70,1.0,1.0,665.0,Monthly,443,TX
71,1.0,1.0,600.0,Monthly,347,MO
72,1.0,2.0,2000.0,Monthly,1220,WA
73,1.0,1.0,799.0,Monthly,500,OK
74,2.0,3.0,1400.0,Monthly,1168,IL
75,1.0,1.0,1915.0,Monthly,760,IL
76,1.0,1.0,645.0,Monthly,675,WI
77,1.0,1.0,650.0,Monthly,560,OH
78,2.5,3.0,1795.0,Monthly,1656,WA
79,1.0,1.0,2683.0,Monthly,957,TN
80,3.0,3.0,3995.0,Monthly,2831,OR
81,1.0,1.0,850.0,Monthly,685,ND
82,1.0,2.0,885.0,Monthly,468,NE
83,1.0,2.0,2395.0,Monthly,900,DC
84,2.0,3.0,1250.0,Monthly,2628,AR
85,1.0,1.0,1795.0,Monthly,500,CA
86,1.0,2.0,545.0,Monthly,950,ND
87,2.5,5.0,3495.0,Monthly,2900,WI
88,1.0,0.0,1195.0,Monthly,300,WA
89,1.0,2.0,595.0,Monthly,792,MI
90,4.0,4.0,6500.0,Monthly,3800,MD
91,2.0,3.0,1395.0,Monthly,1550,ND
92,1.0,1.0,1145.0,Monthly,350,PA
93,2.5,4.0,1895.0,Monthly,2132,WA
94,1.0,1.0,975.0,Monthly,882,TX
95,1.0,2.0,1015.0,Monthly,845,NE
96,2.0,3.0,1495.0,Monthly,1850,NE
97,1.0,1.0,1103.0,Monthly,652,TX
98,1.0,1.0,1032.0,Monthly,600,TX
99,1.0,2.0,1729.0,Monthly,448,TX
100,1.0,2.0,920.0,Monthly,420,TX
101,1.0,1.0,1339.0,Monthly,726,TX
102,1.5,3.0,1650.0,Monthly,1250,WA
103,1.0,3.0,1695.0,Monthly,1253,OH
104,1.0,1.0,932.0,Monthly,725,TX
105,2.0,2.0,1500.0,Monthly,1177,OH
106,1.0,2.0,2200.0,Monthly,1070,CA
107,2.5,2.0,2795.0,Monthly,1370,WA
108,2.5,4.0,3200.0,Monthly,1474,CA
109,2.5,3.0,3399.0,Monthly,1721,CA
110,2.0,4.0,1549.0,Monthly,2598,AZ
111,2.0,4.0,1299.0,Monthly,2200,GA
112,1.0,1.0,778.0,Monthly,616,MO
113,1.0,1.0,1140.0,Monthly,691,MO
114,1.0,1.0,949.0,Monthly,625,FL
115,1.0,1.0,891.0,Monthly,832,OK
116,2.0,2.0,1400.0,Monthly,1140,IA
117,1.0,2.0,1160.0,Monthly,338,FL
118,1.0,1.0,1225.0,Monthly,450,TX
119,1.0,2.0,960.0,Monthly,752,IN
120,2.0,3.0,1525.0,Monthly,1698,TX
121,1.0,2.0,995.0,Monthly,1336,IA
122,3.0,4.0,1799.0,Monthly,3740,AZ
123,1.0,1.0,900.0,Monthly,701,AZ
124,1.0,1.0,883.0,Monthly,719,NE
125,1.0,3.0,1424.0,Monthly,1050,MN
126,1.0,1.0,850.0,Monthly,770,OH
127,1.0,2.0,715.0,Monthly,740,MO
128,1.0,2.0,1025.0,Monthly,500,CO
129,1.0,1.0,625.0,Monthly,468,IL
130,1.0,1.0,1660.0,Monthly,727,GA
131,1.0,1.0,2000.0,Monthly,585,CA
132,1.0,1.0,1649.0,Monthly,738,FL
133,1.0,1.0,1345.0,Monthly,675,CA
134,1.0,1.0,1505.0,Monthly,490,WA
135,1.0,1.0,1575.0,Monthly,720,WA
136,1.0,1.0,1445.0,Monthly,700,WA
137,2.0,2.0,1440.0,Monthly,973,WA
138,1.0,1.0,1161.0,Monthly,780,FL
139,1.0,1.0,1495.0,Monthly,825,MA
140,1.0,2.0,946.0,Monthly,720,MD
141,1.0,2.0,1570.0,Monthly,582,PA
142,1.0,2.0,950.0,Monthly,650,MO
143,1.0,1.0,535.0,Monthly,539,TX
144,1.0,1.0,877.0,Monthly,1003,TX
145,1.0,1.0,1889.0,Monthly,939,TX
146,1.0,1.0,1150.0,Monthly,580,TX
147,3.5,5.0,2350.0,Monthly,2800,CO
148,1.0,0.0,1299.0,Monthly,350,OR
149,1.0,0.0,1250.0,Monthly,228,WA
150,1.0,1.0,825.0,Monthly,550,TX
151,1.0,1.0,675.0,Monthly,700,NE
152,3.5,4.0,8500.0,Monthly,2613,HI
153,1.0,1.0,1425.0,Monthly,650,NJ
154,1.0,1.0,830.0,Monthly,727,GA
155,2.5,3.0,1750.0,Monthly,2068,FL
156,1.0,1.0,595.0,Monthly,300,CO
157,3.0,4.0,2700.0,Monthly,2528,TX
